location,review,name,user_profile,userloc,rating
Udham-Singh-Nagar-District,"The biggest plus point of this Hotel is the location.The rooms are neat,clean and spacious.The staff are well behaved and courteous. Overall a good place to stay at a very economical price.Recommended for budget travellers.",Sureka S,/Profile/SurekaS11,,40
Udham-Singh-Nagar-District,"This place i had visited about 8-10 months back and this time around too i found my stay petty comfortable. The room and ambience are good and the staff is courteous , the food is above average.Overall a nice place for budget stays.",Alok S,/Profile/aloks961,"Mumbai, India",40
Udham-Singh-Nagar-District,"I prefer hotels with a good location and this hotel scores a perfect 10 on 10 on that count. Close to the bus stand, railway station and the main market are its key plus points. The room quality, food and pricing are good too.",Sureka S,/Profile/SurekaS11,,50
Udham-Singh-Nagar-District,Located a few hundred metres away from the railway station in Rudrapur this hotel offers a decent stay and good service. The Location is in the main business area of Rudrapur and therefore very accessible for business purposes.   A warm place to stay if you go for short business stays.,Alok S,/Profile/aloks961,"Mumbai, India",40
Udham-Singh-Nagar-District,Have stayed at this hotel earlier also. Very reasonably priced the room service and food are also good. Located very  lose to the railway station-about one km away the hotel offers value for money. Central location and ease of accessibility to all facilities in walking vicinity are big plus points. ,Alok S,/Profile/aloks961,"Mumbai, India",40
Udham-Singh-Nagar-District,"This is a good ,centrally located , neat and clean hotel and ideal for short stays in Rudrapur. The rooms are well laid out and clean. the rooms service is very good. What i like most about the hotel is it's resonable pricing and its central location in the heart of the City. Its a pleasure to stay in this hotel.",Alok S,/Profile/aloks961,"Mumbai, India",40
