location,review,name,user_profile,userloc,rating
ladakh,It's really a superb hotel and they uploaded a real pics of hotel not a computerised one hotel staff was superb and Mr Rana behaviour was so fun they are really helpful person thank to make my trip memorable,Trail828625,/Profile/Trail828625,,50
ladakh,It’s a very nice hotel with Gud location...I was impressed by all of the staff within the hotel.  It’s such a beautiful place.  You won’t regret choosing this hotel as a gateway.  Food was Amazing as well..  must visit there...,jyotitandon1989,/Profile/jyotitandon1989,"New Delhi, India",50
ladakh,Nice Hotel to visit. Location is good and the staf behaviour was very nice. I recommend that once you visit leh ladakh so you can have a good place where you can stay and enjoy as much as you can in very reasonable prices,Daydream823702,/Profile/Daydream823702,,50
